fecha_registro,planta,caudal_entrada_m3_d,DBO_entrada_mg_L,DBO_salida_mg_L,energia_aeracion_kWh,lodos_generados_kg_d,eficienia_dbo
2025-08-17,Planta Sur,6562,271,40.0,1261.1,440.3,85.23985239852398
2025-09-07,Planta Sur,5336,322,26.8,1629.3,561.2,91.67701863354037
2025-07-26,Planta Norte,5755,318,45.2,1469.2,441.6,85.78616352201259
2025-10-27,Planta Centro,6840,216,38.0,1764.8,560.0,82.4074074074074
2025-09-06,Planta Centro,6803,326,32.1,1409.3,654.0,90.15337423312883
2025-09-22,Planta Norte,4714,308,31.7,1226.7,461.0,89.70779220779221
2025-07-24,Planta Centro,4464,305,49.7,957.9,416.9,83.70491803278689
2025-10-12,Planta Centro,5598,248,30.5,1612.1,575.5,87.70161290322581
2025-10-01,Planta Sur,5014,246,37.7,902.5,429.0,84.67479674796749
2025-08-27,Planta Sur,2540,343,31.5,520.9,172.6,90.81632653061224
2025-07-15,Planta Norte,6986,455,45.1,1433.3,624.5,90.08791208791209
2025-07-24,Planta Norte,5227,214,21.3,1240.0,427.1,90.04672897196261
2025-09-11,Planta Centro,6231,323,36.8,1864.7,622.0,88.60681114551083
2025-09-28,Planta Norte,3558,251,19.8,638.3,255.0,92.11155378486056
2025-10-19,Planta Norte,7003,343,51.6,1863.3,647.8,84.95626822157433
2025-08-12,Planta Centro,4376,315,26.4,813.1,264.7,91.61904761904762
2025-09-29,Planta Norte,5049,365,47.6,1144.5,395.8,86.95890410958903
2025-07-09,Planta Sur,3238,90,10.2,714.5,248.1,88.66666666666666
2025-08-09,Planta Sur,4966,232,20.2,984.9,320.5,91.29310344827587
2025-10-11,Planta Norte,4878,201,28.6,1206.2,484.9,85.77114427860697
2025-09-07,Planta Centro,4940,271,46.3,1130.5,492.5,82.91512915129151
2025-08-18,Planta Sur,5814,222,20.6,1262.2,418.7,90.72072072072072
2025-07-08,Planta Sur,5284,229,32.9,1406.1,497.5,85.63318777292575
2025-08-14,Planta Norte,6566,335,39.3,1390.2,678.3,88.26865671641791
2025-07-01,Planta Norte,4545,432,79.0,1450.1,399.3,81.71296296296296
2025-09-14,Planta Sur,3806,90,11.8,849.7,295.7,86.8888888888889
2025-08-25,Planta Sur,5173,255,41.6,1628.5,479.8,83.68627450980392
2025-07-07,Planta Norte,6080,305,37.1,1230.0,480.2,87.83606557377048
2025-07-20,Planta Centro,6942,280,32.5,2174.6,606.9,88.39285714285714
2025-08-30,Planta Centro,6339,252,20.9,1234.3,581.6,91.7063492063492
2025-08-14,Planta Sur,2728,172,15.0,526.3,202.0,91.27906976744185
2025-09-02,Planta Norte,5728,205,36.6,1087.3,525.8,82.14634146341464
2025-09-08,Planta Centro,7245,338,46.6,2023.6,611.3,86.21301775147928
